Sample_ID;Sample;Geological unit;Deposit;Nature;Zone;Na_pct;Al_pct;Si_pct;Mg_pct;Ca_pct;K_pct;Ti_pct;Fe_pct;Mn_pct;Ni_pct;Cr_pct;Li_ppm;Na_ppm;Mg_ppm;Al_ppm;Si_ppm;Si_ppm;P_ppm;K_ppm;Ca42_ppm;Ca44_ppm;Sc_ppm;Ti_ppm;V_ppm;Cr_ppm;Mn_ppm;Fe_ppm;Co_ppm;Ni_ppm;Cu_ppm;Zn_ppm;Ga_ppm;As_ppm;Se_ppm;Rb_ppm;Sr_ppm;Y_ppm;Zr_ppm;Nb_ppm;Mo_ppm;Cd_ppm;Sn_ppm;Cs_ppm;Ba_ppm;La_ppm;Ce_ppm;Pr_ppm;Nd_ppm;Sm_ppm;Eu_ppm;Gd_ppm;Tb_ppm;Dy_ppm;Ho_ppm;Er_ppm;Tm_ppm;Yb_ppm;Lu_ppm;Hf_ppm;Ta_ppm;W_ppm;Pb_ppm;Th_ppm;U_ppm
RA69_mag_4_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.273227038;0.667331325;0.897858752;0.44098672;0.06282213;0.024572736;0.7673728;62.76063125;0.24240598;;0.00834724;16.25;3466.13;2892.36;6374.85;15497.99;13658.86;65.905;193.29;3363.55;2587;7.36;33103.44;447.08;49.32;1423.6;627607.31;8.64;15.15;5.04;4100.25;20.39;1.39;15.015;0.255;22.22;3.4;12.24;21.12;6.28;3.29;21.14;0.1085;23.55;14.25;14.77;2.39;8.35;0.805;0.305;1.87;0.5;1.32;0.27;0.395;0.175;0.665;0.19;0.47;0.58;0.64;193.29;0.19;1.51
RA69_mag_5_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.093400174;0.3584081;0.045996096;0.00458356;0.04102378;;4.42738135;62.06983585;0.103932532;0.0019646;0.00882618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RA69_mag_5_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.10200575;0.33522695;0.052306536;0.00946867;0.07375704;0.00705636;4.432537136;61.30931575;0.108501846;;0.013684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RA69_mag_6_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.087316922;0.4949546;0.122843232;0.01230324;0.05152987;;4.42078674;61.30923802;0.143197654;;0.00745778;1.43;3297.35;395.4;5840.72;18185.66;18185.13;62.685;248.94;3877.42;3677.77;11.58;46593.29;887.9;55.69;797.4;613093.38;7.61;32.14;3.93;4438.54;18.2;1.53;15.305;0.94;20.35;1.23;13.66;20.29;6.31;3.645;26.72;0.155;21.95;9.83;3.98;1.61;5.21;2.17;0.65;0.795;0.155;0.81;0.16;0.415;0.14;0.5;0.14;0.485;0.84;0.535;468.23;0.19;0.41
RA69_mag_6_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.068844608;0.5000354;0.057635352;0.00717689;0.05181575;0.005063976;4.472104796;61.96917421;0.092238186;;0.02401542;1.94;13800.35;731.5;5608.73;36203.72;26504.17;614.83;195.85;6333.94;6636.99;13.06;47249.18;847.7;57.32;786.78;619692.69;8.5;23.91;3.99;4974.22;17.76;1.32;10.46;0.9;17.4;2.31;18.4;20.37;5.75;3.305;28.5;0.25;17.8;8.8;10.28;1.61;4.37;0.95;0.175;1.49;0.105;2.1;0.15;0.42;0.11;0.9;0.145;0.615;0.77;0.68;116.1;0.62;0.59
RA69_mag_7_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.076856696;0.48934455;0.030056392;;0.01393665;;4.48913088;62.30248473;0.062498922;;;0.75;6950.84;660.25;4663.29;2095.16;4310;76.045;425;5303.73;4640.74;13.64;52875.29;904.35;44.3;907.69;623025.81;7.99;32.43;8.95;4408.01;17.76;1.89;15.64;1.29;12.12;3.82;43.65;25.09;5.85;3.57;26.7;0.195;45.61;33.53;52.57;5.51;20.97;4.48;0.33;2.32;0.18;0.935;0.195;0.44;0.21;0.745;0.19;0.835;0.73;3.02;418.06;0.7;17.12
RA69_mag_8_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.105937608;0.4176841;0.032814288;;0.02830212;0.005562072;4.501420835;61.66695608;0.081937868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RA69_mag_9_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.052968804;0.51136135;0.022717584;0.00084434;0.03516324;;4.541707907;61.73885725;0.076594094;0.000628672;;3.2;13236.57;1217.28;5158.05;2296.49;51071.55;1128.57;310.25;11412.08;12116.33;10.63;45081.66;757.51;61.2;924.25;617389.5;9.57;31.72;2.43;5320.19;20.93;2.345;18.595;1.37;32.67;11.49;33.58;24.29;5.29;4.86;27.78;0.16;25.13;14.65;34.03;4.86;21.45;1.49;0.45;4;0.42;1.93;0.76;1.22;0.17;0.855;0.41;2.51;0.28;1.115;119.92;1.3;2.98
RA69_mag_10_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.0630581;0.4765367;0.048473528;0.00687534;0.03537765;0.0083016;3.884884751;62.89176345;0.07705877;0.005579464;0.0174471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RA69_mag_12_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.04636625;0.526444975;0.03295452;0.00741813;0.01536605;;4.472284649;62.17710463;0.080388948;;0.02285228;2.13;19566.2;2058.79;6477.87;55869.75;87138.89;129.34;524.44;15762.56;17330.63;12.04;45887.63;902.63;74.29;787.82;621772;9.55;25.02;3.48;4554.65;23.51;1.75;27.62;0.745;25.36;2.89;26.26;21.14;2.03;7.47;32.03;0.145;23.85;2.92;6.19;1.26;6.31;3.24;0.6;0.985;0.295;0.88;0.315;0.875;0.34;1.22;0.39;1.18;0.355;2.05;55.33;0.49;0.53
