Sample_ID;Sample;Deposit;Nature;Zone;Class;CL;F_pct;Si_pct;Mg_pct;Na_pct;Ca_pct;P_pct;Cl_pct;Fe_pct;Mn_pct;Ce_pct;La_pct;Nd_pct;B_ppm;Mg_ppm;Si_ppm;P_ppm;Ca_ppm;Sc_ppm;Ti_ppm;V_ppm;Mn_ppm;Fe_ppm;Ga_ppm;Ge_ppm;As_ppm;Rb_ppm;Sr_ppm;Y_ppm;Zr_ppm;Nb_ppm;Ba_ppm;La_ppm;Ce_ppm;Pr_ppm;Nd_ppm;Sm_ppm;Eu_ppm;Gd_ppm;Tb_ppm;Dy_ppm;Ho_ppm;Er_ppm;Tm_ppm;Yb_ppm;Lu_ppm;Hf_ppm;Ta_ppm;Pb_ppm;Th232_ppm;U238_ppm;;U238_ppm
PGD-1_ap_4_2;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.7243;0.096713336;0.01127797;0.016840222;40.02927495;18.13185446;0.0411;0.212516554;0.103932532;0.135464576;0.031208088;0.025634765;5.235;69.72;4733.765;162958.28;400293.19;1.3;804.85;14.24;871.68;543.82;0.25;63.9;30.15;0.32;221.59;271.31;0.25;0.12;2.375;578.32;1002.79;99.42;385.59;57.24;14.57;52.58;7.02;45.36;10.58;26.18;2.98;22.41;4.83;0.79;0.18;8.65;36;42.51;;25.28
PGD-1_ap_4_3;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;4.1593;0.067404848;0.00102527;0.010460226;40.10346081;18.02148384;0.0223;0.189274985;0.055916012;0.042983952;0.0106585;0.01045967;4.38;95.81;4575.17;165096.31;401035.09;1.12;916.18;7.3;837.05;1927.32;0.51;63.51;15.43;5;215.65;349.56;1.94;0.145;2.865;640.7;1162.39;123.64;507.66;94.22;12.18;85.26;10.1;51.58;11.21;29.32;3.21;31.12;4.26;1.1;0.16;10.98;40.25;28.15;;13.86
PGD-1_ap_4_4;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.7449;0.063010912;0.00476449;0.014911386;39.90970564;18.1782459;0.026;0.148777134;0.078297906;0.047542856;0.0596876;0.01406054;12.36;17.1;5181.65;158711.11;399097.53;3.76;805.27;14.75;637.72;361.72;0.31;41.21;28.93;0.46;223.43;270.72;0.38;0.16;2.565;479.41;793.67;76.34;326.86;46.06;7.01;62.15;7.24;34.76;8.96;21.52;2.08;23.6;4.61;1.49;0.175;7.85;32.15;38.18;;21.44
PGD-1_ap_5_1;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.6033;0.379981976;0.00205054;;38.9911732;17.41839504;0.0395;0.045783559;0.071947334;0.657133448;0.278570556;0.12054341;2.305;239.33;9047.22;155019.8;389912.16;5.86;782.59;0.26;1049;601.42;0.76;343.28;14.09;0.205;194.1;2392.82;6.75;0.096;19.32;2556.23;5736.55;708.07;2921.79;509.72;77.26;473.65;68.24;385.9;81.92;220.31;32.19;212.19;34.3;1.82;0.171;34.08;193.03;80.22;;71.22
PGD-1_ap_5_2;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.5968;0.055578616;0.00675472;0.015875804;40.06022146;18.34247075;0.0272;0.128178419;0.079227258;0.068302151;;0.0188617;3.04;59.35;2545.45;166252.06;400602.66;2.31;813.82;12.82;767.11;1019.03;0.11;83.46;10.97;0.195;215.37;498.23;0.5;0.0745;4.38;810.31;1450;156.56;626.13;101.61;19.65;102.92;13.46;77.09;15.49;48.05;6.48;43.75;8.63;0.66;0.092;14.57;46;43.89;;41.64
PGD-1_ap_5_3;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.7338;0.295983008;;;39.35238258;17.72406361;0.0351;0.105325505;0.075354958;0.461263394;0.20165882;0.10785463;5.235;1633.19;4932.53;163670.42;393524.25;6.13;806.25;3.03;929.93;3786.75;2.86;222.58;14.32;7.2;213.32;1317.55;3.07;0.18;3.26;1965.77;3725.06;418.65;1706.83;283.05;49.53;273.19;35.25;197.96;38.71;122.79;16.03;110.67;19.78;1.42;0.15;75.45;393.81;157.17;;134.59
RA69_ap_1_1;RA69;Pé Quente deposit;Hydrothermal;Hydrothermal;Pé Quente deposit (type 3);CL-grey;3.5531;;0.02870756;;38.71444136;17.75723153;0.2353;0.08239486;0.162171924;0.446772592;0.194240504;0.133146455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RA69_ap_1_2;RA69;Pé Quente deposit;Hydrothermal;Hydrothermal;Pé Quente deposit (type 3);CL-grey;3.4814;;0.0277426;;38.39075373;17.55599827;0.2204;0.108901131;0.15179416;0.478359284;0.192790948;0.13734747;3.02;346.97;3504.36;165866.48;383907.94;0.73;799.15;3.85;1593.91;2728.27;0.5;273.2;18.16;0.12;294.98;1604.73;1.4;0.076;13.13;2024.61;5322.26;650.91;2849.23;541.2;34.75;443.91;56.2;324.66;60.52;137;15.78;80.5;11.64;0.4;0.22;8.88;8.84;1.48;;4.8
RA69_ap_2_1;RA69;Pé Quente deposit;Hydrothermal;Hydrothermal;Pé Quente deposit (type 3);CL-grey;3.6276;;0.0235209;;38.27590144;17.84617392;0.2285;0.080607047;0.127476116;0.462728756;0.166784208;0.11951459;1.53;306.95;1679.42;153885.98;382759.5;0.19;771.82;3.57;2241.73;1358.87;0.42;277.97;11.6;0.4;298.53;1690.33;0.9;0.051;6.3;2143.61;5506.47;683.44;3133.69;600.62;41.52;510.37;67.86;369.12;64.34;148.45;17.71;106.19;11.14;1.25;0.074;5.94;7.49;1.1;;
RA69_ap_2_2;RA69;Pé Quente deposit;Hydrothermal;Hydrothermal;Pé Quente deposit (type 3);CL-grey;4.0284;;0.01941982;;38.1656947;17.54500048;0.1866;0.100428452;0.124842952;0.539090398;0.16158286;0.200019755;1.375;602.77;15077.54;141049.14;381657.44;0.2;746.1;3.35;1344.42;1126.9;0.89;230.35;15.52;1.49;367.83;1369.51;3.93;0.051;16.53;1541.55;3947.81;470.22;2237.84;410.07;31.83;345.34;46.34;258.9;46.43;111.07;11.83;70.11;9.04;0.48;0.053;5.07;7.58;1.21;;4.4
